city,state,country,shape,duration (seconds),duration (hours/min),date posted,latitude,longitude,date,time,lat_bin,long_bin
san marcos,tx,United States,cylinder,2700.0,45 minutes,4/27/2004,29.8830556,-97.9411111,10/10/1949,20:30,"(27.9, 30.421]","(-104.058, -96.949]"
lackland afb,tx,United States,light,7200.0,1-2 hrs,12/16/2005,29.38421,-98.581082,10/10/1949,21:00,"(27.9, 30.421]","(-104.058, -96.949]"
chester (uk/england),,United Kingdom,circle,20.0,20 seconds,1/21/2008,53.2,-2.916667,10/10/1955,17:00,"(48.88, 70.292]","(-3.381, 178.018]"
edna,tx,United States,circle,20.0,1/2 hour,1/17/2004,28.9783333,-96.6458333,10/10/1956,21:00,"(27.9, 30.421]","(-96.949, -93.855]"
kaneohe,hi,United States,light,900.0,15 minutes,1/22/2004,21.4180556,-157.8036111,10/10/1960,20:00,"(-46.165, 27.9]","(-169.543, -122.483]"
bristol,tn,United States,sphere,300.0,5 minutes,4/27/2007,36.595,-82.1888889,10/10/1961,19:00,"(36.2, 37.669]","(-82.495, -80.966]"
penarth (uk/wales),,United Kingdom,circle,180.0,about 3 mins,2/14/2006,51.434722,-3.18,10/10/1965,21:00,"(48.88, 70.292]","(-3.381, 178.018]"
norwalk,ct,United States,disk,1200.0,20 minutes,10/2/1999,41.1175,-73.4083333,10/10/1965,23:45,"(40.655, 41.246]","(-74.629, -72.787]"
pell city,al,United States,disk,180.0,3  minutes,3/19/2009,33.5861111,-86.2861111,10/10/1966,20:00,"(32.776, 33.631]","(-87.821, -85.922]"
live oak,fl,United States,disk,120.0,several minutes,5/11/2005,30.2947222,-82.9841667,10/10/1966,21:00,"(27.9, 30.421]","(-83.971, -82.495]"
hawthorne,ca,United States,circle,300.0,5 min.,10/31/2003,33.9163889,-118.3516667,10/10/1968,13:00,"(33.631, 34.148]","(-121.787, -118.34]"
brevard,nc,United States,fireball,180.0,3 minutes,6/12/2008,35.2333333,-82.7344444,10/10/1968,19:00,"(35.227, 36.2]","(-83.971, -82.495]"
