city,state,country,shape,comments,latitude,longitude,date,time,datetime
bickerton (near wetherby) (uk/england),,Uk/england,unknown,two bright&#44 but fuzzy lights going in a hovering circle about 200 yards of the ground&#44 with a grey cloud above them,53.070884,-2.736506,2003-10-10,23:00,2003-10-10 23:00
kedainiai (lithuania),,Lithuania,oval,6 oval light objects very quickly rounded under the dark cloud for a some minutes ((NUFORC Note:  Possible advertising lights??  PD)),55.288131,23.957728,2004-10-10,15:20,2004-10-10 15:20
newtown (uk/wales),,United Kingdom,formation,red/orang lights dancing in the sky.,52.516667,-3.3,2005-10-10,20:00,2005-10-10 20:00
plymouth (devonshire) (uk/england),,United Kingdom,formation,they were right above me very small almost like minni stars and they were circling round sommothing and came closer and further away an,50.396389,-4.138611,2006-10-10,21:47,2006-10-10 21:47
stord (norway),,Norway,light,Thise could be an ETV case&#44 but it could also be helicopters or/and airplanes,59.900209,5.282347,2007-10-10,23:20,2007-10-10 23:20
epsom (surrey) (uk/england),,United Kingdom,oval,Flying beer barrel shaped metallic object,51.316667,-0.266667,2011-10-10,14:00,2011-10-10 14:00
hafnarfjordur (iceland),,Iceland,sphere,playing with a jet,64.066667,-21.95,1997-10-11,22:00,1997-10-11 22:00
london (uk/england),,United Kingdom,diamond,Diamond shaped ufo seen pulsing for short time near London England,51.514125,-0.093689,2000-10-11,19:30,2000-10-11 19:30
dolgellau (uk/wales),,United Kingdom,changing,How two became one.,52.75,-3.883333,2000-10-11,22:09,2000-10-11 22:09
cannock (uk/england),,United Kingdom,formation,Formation spotted,52.683333,-2.016667,2005-10-11,00:00,2005-10-11 00:00
rotherham (south yorkshire) (uk/england),,United Kingdom,oval,A light it was a oval shape duration was 1hr,53.433333,-1.35,2005-10-11,21:50,2005-10-11 21:50
kidlington (uk/england),,United Kingdom,formation,Shape of object wasn&#39t wisible. Light spots shine in triangular shape,51.816667,-1.283333,2006-10-11,21:20,2006-10-11 21:20
london (uk/england),,United Kingdom,unknown,Yellow lights in formation,51.514125,-0.093689,2007-10-11,23:00,2007-10-11 23:00
klagenfurt (austria),,Austria,chevron,It came from the direction of the city&#44 when I stood on a hill in total darkness in the countryside. It was moving strangely&#44  not stra,46.62794,14.30899,2008-10-11,00:00,2008-10-11 00:00
taunton (near) (uk/england),,United Kingdom,light,The object was made up of a formation of small lights&#44 plus one light moving independantly  around main formation,51.021111,-3.104722,1995-10-01,21:00,1995-10-01 21:00
warrington (uk/england),,United Kingdom,fireball,It was a clear night&#44 the fireball was huge and you could almost hear a rumbling. It shot across the sky from left to right at an incre,53.383333,-2.6,1998-10-01,21:00,1998-10-01 21:00
blankenberge (belgium),,Belgium,formation,upside down V formation of 9 birght lights on high altitude changed to M formation in less than a second,51.312374,3.132768,1999-10-01,23:00,1999-10-01 23:00
tillicoultry (central scotland) (uk/scotland),,United Kingdom,triangle,Hovered&#44 huge&#44 flashing&#44 silent&#44 wierd.,56.15,-3.75,2000-10-01,20:00,2000-10-01 20:00
karavostasi (greece),,Greece,cross,a look-through aircraft a la &#39predator&#39,39.337515,20.289964,2002-10-01,13:35,2002-10-01 13:35
dunstable (uk/england),,United Kingdom,fireball,Fireball burned me  ((NUFORC Note:  May not be a serious report.  PD)),51.883333,-0.516667,2004-10-01,23:00,2004-10-01 23:00
buxton (uk/england),,United Kingdom,light,3 satellite looking objects moving close together,52.75,1.3,2005-10-01,21:35,2005-10-01 21:35
bursa (turkey),,Turkey,teardrop,Bright green object in the sky,40.182846,29.067084,2006-10-01,01:20,2006-10-01 01:20
carrieres sous poissy (france),,France,cigar,Huge grey cylinder rotating going down to my house from high altitude with no noise,48.945484,2.037356,2011-10-01,17:00,2011-10-01 17:00
london (uk/england),,United Kingdom,fireball,Orange fireball seen hovering in London sky before vanishing.,51.514125,-0.093689,2013-10-01,23:00,2013-10-01 23:00
poole (uk/england),,United Kingdom,other,UFO Sighted in Poole&#44 Dorset England,50.716667,-2.0,1997-10-12,10:30,1997-10-12 10:30
jersey,nj,United States,disk,I was on my roof. look up i saw two gray disk like abjects . .no lights just at a dead stop.,49.214439,-2.13125,1999-10-12,10:30,1999-10-12 10:30
brixham&#44 devon (uk/england),,Uk/england,light,Unusual lights which blink on and off&#44 before one disappears and one starts moving and flies across the horizon.,50.39514,-3.513924,2000-10-12,20:08,2000-10-12 20:08
sainte-suzanne (near switzerland) (france),,France,other,The craft was too dark&#44 but behind i have seen a long and large light blue flame&#44 and all disapeared after a zigzag of 2 sec. The direc,48.097456,-0.349277,2001-10-12,19:40,2001-10-12 19:40
cannock (uk/england),,United Kingdom,triangle,a triangular object moving in a southeasterly direction,52.683333,-2.016667,2001-10-12,20:30,2001-10-12 20:30
rotherham (uk/england),,United Kingdom,light,Strange light in the sky,53.433333,-1.35,2002-10-12,19:45,2002-10-12 19:45
antibes (france),,France,sphere,Round sphere off the coast of southern France.,43.580418,7.125102,2004-10-12,15:00,2004-10-12 15:00
&iacute;safj&ouml;r&eth;ur (iceland),,Iceland,cylinder,Cylinder hiding from fighter jets in west Iceland,66.075833,-23.126667,2004-10-12,16:00,2004-10-12 16:00
stafford (uk/england),,United Kingdom,light,Another UFO&#44 definately watching me and sending signals.,52.833333,-2.0,2008-10-12,21:00,2008-10-12 21:00
east kilbride (south lanarkshire) (uk/scotland),,United Kingdom,unknown,It was from a high flat window&#44 several miles away high&#44 really high up in the sky. I was scepticle as the object never moved&#44 I could,55.766667,-4.166667,1999-10-13,04:28,1999-10-13 04:28
budapest (hungary),,Hungary,oval,Blue-greay oval over Szentendre (Hungary),47.497912,19.040235,2002-10-13,22:00,2002-10-13 22:00
runcorn (uk/england),,United Kingdom,unknown,A group of lights.,53.333333,-2.75,2003-10-13,19:15,2003-10-13 19:15
manchester (uk/england),,United Kingdom,fireball,loud sonic like bang&#44 /two fire balls /comets  ((NUFORC Note:  Possible&#44 though unconfirmed&#44 daytime meteor??  PD)),53.5,-2.216667,2004-10-13,07:19,2004-10-13 07:19
shropshire (uk/england),,United Kingdom,light,bright lights in England (shropshire)  near shrewsbury,52.666667,-2.75,2005-10-13,19:10,2005-10-13 19:10
berlin (germany),,Germany,fireball,7 shooting lights&#44 followed by a formation&#44 followed by a fireball.They appeared to be white in colour and exhude an extrodinary a,52.516667,13.4,2006-10-13,00:02,2006-10-13 00:02
kirkcaldy (uk/scotland),,United Kingdom,circle,semi-transparent big wheel like object. spinning in a stationery possition for about 10 miutes,56.116667,-3.166667,2007-10-13,22:30,2007-10-13 22:30
oldham (uk/england),,United Kingdom,oval,Oval shape unlike anything I have seen before emitting bright lights,53.55,-2.116667,2011-10-13,19:47,2011-10-13 19:47
benidorm (spain),,Spain,changing,Best UFO Sighting Footage of 2012.,38.541057,-0.122494,2012-10-13,02:00,2012-10-13 02:00
glasgow (uk/scotland),,United Kingdom,circle,Strange Orange Orb over Glasgow&#44 Scotland&#44 UK,55.833333,-4.25,2012-10-13,20:30,2012-10-13 20:30
seaford (uk/england),,United Kingdom,light,Unusual set of 3 lights captured on camera,50.766667,0.1,2012-10-13,22:30,2012-10-13 22:30
tonbridge (uk/england),,United Kingdom,fireball,Laying on sofa &#44noticed green ball very quickly descend into tree line.,51.183333,0.283333,2012-10-13,22:30,2012-10-13 22:30
newcastle-upon-tyne (uk/england),,Uk/england,oval,The object swayed and suddenly dropped&#44 then made of circular motions&#44with the coloured lights circling it in no particular sequence,54.978252,-1.61778,2002-10-14,20:00,2002-10-14 20:00
llanelli (uk/england),,United Kingdom,triangle,triangle object flew over my house early morning blocking out all stars,51.676111,-4.156667,2005-10-14,03:36,2005-10-14 03:36
argostoli (greece),,Greece,sphere,our first ufo sighting. KEFALONIA GREECE,38.173168,20.489973,2006-10-14,07:25,2006-10-14 07:25
northwich (uk/england),,United Kingdom,other,orange flare like sightings over Cheshire,53.266667,-2.5,2010-10-14,22:30,2010-10-14 22:30
split (in former yugoslavia),,Fuck,fireball,I was standing on the shore of the Adriatic Sea looking towrds Italy&#44 seen object go frm left to right&#44 approx  altitiude1000ft,43.508132,16.440193,1995-10-15,23:00,1995-10-15 23:00
fort william (uk/scotland),,United Kingdom,unknown,UFO exploded in the West Highlands of Scotland..,56.819817,-5.105218,1997-10-15,23:30,1997-10-15 23:30
inverness (uk/scotland),,United Kingdom,formation,Four bright white lights moving in a row,57.466667,-4.233333,1999-10-15,02:00,1999-10-15 02:00
sheffield (uk/england),,United Kingdom,triangle,THE UFO,53.366667,-1.5,1999-10-15,24:00,1999-10-15 24:00
london (uk/england),,United Kingdom,light,A large very bright light&#33,51.514125,-0.093689,2000-10-15,18:30,2000-10-15 18:30
swadlincote&#44 derbyshire (uk/england),,Uk/england,circle,Two objects seen flying over Derbyshire&#44 UK. Both keeping exact pace.,52.771318,-1.554997,2001-10-15,16:30,2001-10-15 16:30
hull (uk/england),,United Kingdom,disk,2 orangey red discs similar to other reports from the time.,53.716667,-0.333333,2008-10-15,24:00,2008-10-15 24:00
moss (norway),,Norway,formation,Very fast light&#44 changing colors.,59.434091,10.658383,2011-10-15,20:05,2011-10-15 20:05
glasgow (uk/scotland),,United Kingdom,other,I am a Buyer with Scottish Water working in Glasgow and after a meeting with a supplier on Wednesday 16th October I happened to glance,55.833333,-4.25,2002-10-16,15:00,2002-10-16 15:00
northampton (uk/england),,United Kingdom,light,Disco Lights over Northampton&#44 UK.,52.25,-0.883333,2004-10-16,00:10,2004-10-16 00:10
leeds (uk/england),,United Kingdom,fireball,Golden light ball / craft in the sky,53.8,-1.583333,2007-10-16,19:55,2007-10-16 19:55
selby (uk/england),,United Kingdom,changing,A orange splatter shaped light hovering in one place for about 4 minutes&#44 slightly moving around but staying in round about the same sp,53.783333,-1.066667,2009-10-16,19:30,2009-10-16 19:30
melksham&#44 wiltshire (uk/england),,Uk/england,circle,Bright orange light moved across the sky&#44 no noise then disappeared,51.370447,-2.137629,2009-10-16,21:30,2009-10-16 21:30
oakham&#44 rutland (uk/england),,Uk/england,light,Oakham,52.669563,-0.726625,2009-10-16,22:35,2009-10-16 22:35
ditcot&#44 oxordshire (uk/england),,Uk/england,circle,From around 1:15 am to 2:00 am this morning 17/10/2002 I watched a circular light moving at a speed far greater than any aircraft known,51.608044,-1.24484,2002-10-17,01:45,2002-10-17 01:45
south stoke&#44 goring (uk/england),,Uk/england,circle,UFO sighted over fields and River Thames in South Stoke&#44 Nr. Reading&#44 UK,51.543102,-1.097742,2002-10-17,01:45,2002-10-17 01:45
kracow (poland),,Poland,egg,Egg-shaped object traveling at high speed. Krakow&#44 Poland.,50.06465,19.94498,2002-10-17,19:42,2002-10-17 19:42
vrsac (yugoslavia),,Fuck,diamond,We saw a huge space craft from some other planet.,45.116667,21.3,2002-10-17,22:30,2002-10-17 22:30
leeds (west yorkshire) (uk/england),,United Kingdom,triangle,((HOAX??))  i look up at the stars when i saw object moving looked like a star.but beined it was triangle shape object.,53.8,-1.583333,2007-10-17,20:15,2007-10-17 20:15
