city,state,country,shape,duration (seconds),duration (hours/min),date posted,latitude,longitude,date,time
chester (uk/england),,United Kingdom,circle,20.0,20 seconds,1/21/2008,53.2,-2.916667,10/10/1955,17:00
penarth (uk/wales),,United Kingdom,circle,180.0,about 3 mins,2/14/2006,51.434722,-3.18,10/10/1965,21:00
cardiff (uk/wales),,United Kingdom,disk,1200.0,20 minutes,2/1/2007,51.5,-3.2,10/10/1974,21:30
stoke mandeville (uk/england),,United Kingdom,cigar,3.0,3 seconds,12/12/2009,51.783333,-0.783333,10/10/1976,22:00
leeds (uk/england),,United Kingdom,triangle,600.0,10min,3/4/2003,53.8,-1.583333,10/10/1985,20:25
bickerton (near wetherby) (uk/england),,United Kingdom,unknown,2700.0,45minutes,10/15/2003,53.070884,-2.736506,10/10/2003,23:00
kedainiai (lithuania),,Lithuania,oval,240.0,4min,10/27/2004,55.288131,23.957728,10/10/2004,15:20
newtown (uk/wales),,United Kingdom,formation,360.0,5/6 minutes,5/15/2006,52.516667,-3.3,10/10/2005,20:00
plymouth (devonshire) (uk/england),,United Kingdom,formation,120.0,1-2 mins,10/30/2006,50.396389,-4.138611,10/10/2006,21:47
epsom (surrey) (uk/england),,United Kingdom,oval,300.0,5 mins,12/12/2011,51.316667,-0.266667,10/10/2011,14:00
london (uk/england),,United Kingdom,diamond,3.0,3 seconds,12/2/2000,51.514125,-0.093689,10/11/2000,19:30
dolgellau (uk/wales),,United Kingdom,changing,240.0,3 or 4 minutes,12/20/2000,52.75,-3.883333,10/11/2000,22:09
cannock (uk/england),,United Kingdom,formation,180.0,3 minutes,10/20/2005,52.683333,-2.016667,10/11/2005,00:00
rotherham (south yorkshire) (uk/england),,United Kingdom,oval,3600.0,1hr,12/16/2005,53.433333,-1.35,10/11/2005,21:50
kidlington (uk/england),,United Kingdom,formation,5.0,5 sec,10/30/2006,51.816667,-1.283333,10/11/2006,21:20
london (uk/england),,United Kingdom,unknown,300.0,5 minutes,3/4/2008,51.514125,-0.093689,10/11/2007,23:00
klagenfurt (austria),,Austria,chevron,60.0,1 minute,3/19/2009,46.62794,14.30899,10/11/2008,00:00
birmingham (uk/england),,United Kingdom,sphere,97836000.0,31 years,4/12/2013,52.466667,-1.916667,10/1/1983,17:00
taunton (near) (uk/england),,United Kingdom,light,60.0,1 minute,1/29/2002,51.021111,-3.104722,10/1/1995,21:00
warrington (uk/england),,United Kingdom,fireball,8.0,8 seconds,7/26/2002,53.383333,-2.6,10/1/1998,21:00
blankenberge (belgium),,Belgium,formation,10.0,10 seconds,4/8/2002,51.312374,3.132768,10/1/1999,23:00
tillicoultry (central scotland) (uk/scotland),,United Kingdom,triangle,60.0,1 min,5/24/2005,56.15,-3.75,10/1/2000,20:00
karavostasi (greece),,Greece,cross,60.0,1 minute,12/14/2004,39.337515,20.289964,10/1/2002,13:35
dunstable (uk/england),,United Kingdom,fireball,300.0,5 mins,10/27/2004,51.883333,-0.516667,10/1/2004,23:00
buxton (uk/england),,United Kingdom,light,240.0,4 mins?,10/11/2005,52.75,1.3,10/1/2005,21:35
carrieres sous poissy (france),,France,cigar,180.0,3 minutes,12/12/2011,48.945484,2.037356,10/1/2011,17:00
london (uk/england),,United Kingdom,fireball,30.0,30 seconds,10/3/2013,51.514125,-0.093689,10/1/2013,23:00
poole (uk/england),,United Kingdom,other,60.0,1 minute,3/19/2009,50.716667,-2.0,10/12/1997,10:30
brixham&#44 devon (uk/england),,United Kingdom,light,600.0,10 minutes,12/2/2000,50.39514,-3.513924,10/12/2000,20:08
sainte-suzanne (near switzerland) (france),,France,other,2.0,2 secondes,10/12/2001,48.097456,-0.349277,10/12/2001,19:40
cannock (uk/england),,United Kingdom,triangle,10.0,5-10 seconds,11/20/2001,52.683333,-2.016667,10/12/2001,20:30
rotherham (uk/england),,United Kingdom,light,120.0,2 minutes,10/15/2002,53.433333,-1.35,10/12/2002,19:45
antibes (france),,France,sphere,2700.0,45 minutes,5/15/2013,43.580418,7.125102,10/12/2004,15:00
stafford (uk/england),,United Kingdom,light,60.0,1 minute,1/10/2009,52.833333,-2.0,10/12/2008,21:00
east kilbride (south lanarkshire) (uk/scotland),,United Kingdom,unknown,3600.0,1 hour at least,11/2/1999,55.766667,-4.166667,10/13/1999,04:28
budapest (hungary),,Hungary,oval,600.0,10 minutes approx,7/23/2003,47.497912,19.040235,10/13/2002,22:00
runcorn (uk/england),,United Kingdom,unknown,90.0,90 seconds,1/17/2004,53.333333,-2.75,10/13/2003,19:15
manchester (uk/england),,United Kingdom,fireball,30.0,30sec,10/27/2004,53.5,-2.216667,10/13/2004,07:19
shropshire (uk/england),,United Kingdom,light,1200.0,20 minutes,10/20/2005,52.666667,-2.75,10/13/2005,19:10
kirkcaldy (uk/scotland),,United Kingdom,circle,600.0,10 mins +,11/28/2007,56.116667,-3.166667,10/13/2007,22:30
oldham (uk/england),,United Kingdom,oval,60.0,1 minute,10/19/2011,53.55,-2.116667,10/13/2011,19:47
benidorm (spain),,Spain,changing,660.0,11 minutes,11/4/2012,38.541057,-0.122494,10/13/2012,02:00
glasgow (uk/scotland),,United Kingdom,circle,300.0,5 minutes,10/30/2012,55.833333,-4.25,10/13/2012,20:30
seaford (uk/england),,United Kingdom,light,600.0,10 minutes,10/30/2012,50.766667,0.1,10/13/2012,22:30
tonbridge (uk/england),,United Kingdom,fireball,2.0,2 seconds,10/30/2012,51.183333,0.283333,10/13/2012,22:30
south eastern coast (republic of ireland),,Ireland,chevron,300.0,5 min,11/1/1998,22.564254,114.229432,10/14/1998,01:45
newcastle-upon-tyne (uk/england),,United Kingdom,oval,4200.0,1 hour and 10 minutes,10/15/2002,54.978252,-1.61778,10/14/2002,20:00
llanelli (uk/england),,United Kingdom,triangle,30.0,30seconds,10/20/2005,51.676111,-4.156667,10/14/2005,03:36
argostoli (greece),,Greece,sphere,5.0,5 sec,10/30/2006,38.173168,20.489973,10/14/2006,07:25
northwich (uk/england),,United Kingdom,other,180.0,2-3 min&#39s,11/21/2010,53.266667,-2.5,10/14/2010,22:30
castleside (uk/england),,United Kingdom,cigar,300.0,5 minutes,3/11/2006,54.833333,-1.866667,10/15/1967,16:00
knott - end. fleetwood (uk/england),,United Kingdom,light,600.0,5 - 10 mins,2/18/2001,53.92766,-3.00585,10/15/1967,19:30
