city,state,country,shape,duration (seconds),duration (hours/min),date posted,latitude,longitude,date,time
san marcos,tx,United States,cylinder,2700.0,45 minutes,4/27/2004,29.8830556,-97.9411111,10/10/1949,20:30
lackland afb,tx,United States,light,7200.0,1-2 hrs,12/16/2005,29.38421,-98.581082,10/10/1949,21:00
chester (uk/england),,United Kingdom,circle,20.0,20 seconds,1/21/2008,53.2,-2.916667,10/10/1955,17:00
edna,tx,United States,circle,20.0,1/2 hour,1/17/2004,28.9783333,-96.6458333,10/10/1956,21:00
kaneohe,hi,United States,light,900.0,15 minutes,1/22/2004,21.4180556,-157.8036111,10/10/1960,20:00
bristol,tn,United States,sphere,300.0,5 minutes,4/27/2007,36.595,-82.1888889,10/10/1961,19:00
penarth (uk/wales),,United Kingdom,circle,180.0,about 3 mins,2/14/2006,51.434722,-3.18,10/10/1965,21:00
norwalk,ct,United States,disk,1200.0,20 minutes,10/2/1999,41.1175,-73.4083333,10/10/1965,23:45
pell city,al,United States,disk,180.0,3  minutes,3/19/2009,33.5861111,-86.2861111,10/10/1966,20:00
live oak,fl,United States,disk,120.0,several minutes,5/11/2005,30.2947222,-82.9841667,10/10/1966,21:00
hawthorne,ca,United States,circle,300.0,5 min.,10/31/2003,33.9163889,-118.3516667,10/10/1968,13:00
brevard,nc,United States,fireball,180.0,3 minutes,6/12/2008,35.2333333,-82.7344444,10/10/1968,19:00
bellmore,ny,United States,disk,1800.0,30 min.,5/11/2000,40.6686111,-73.5275,10/10/1970,16:00
manchester,ky,United States,unknown,180.0,3 minutes,2/14/2008,37.1536111,-83.7619444,10/10/1970,19:00
lexington,nc,United States,oval,30.0,30 seconds,2/14/2010,35.8238889,-80.2536111,10/10/1971,21:00
harlan county,ky,United States,circle,1200.0,20minutes,9/15/2005,36.8430556,-83.3219444,10/10/1972,19:00
west bloomfield,mi,United States,disk,120.0,2 minutes,8/14/2007,42.5377778,-83.2330556,10/10/1972,22:30
niantic,ct,United States,disk,1800.0,20-30 min,9/24/2003,41.3252778,-72.1936111,10/10/1973,19:00
bermuda nas,,Fuck,light,20.0,20 sec.,1/11/2002,32.364167,-64.678611,10/10/1973,23:00
hudson,ma,United States,other,2700.0,45 minutes,8/10/1999,42.3916667,-71.5666667,10/10/1974,19:30
cardiff (uk/wales),,United Kingdom,disk,1200.0,20 minutes,2/1/2007,51.5,-3.2,10/10/1974,21:30
hudson,ks,United States,light,1200.0,one hour?,7/25/2004,38.1055556,-98.6597222,10/10/1974,23:00
north charleston,sc,United States,light,360.0,5-6 minutes,2/14/2008,32.8544444,-79.975,10/10/1975,17:00
washougal,wa,United States,oval,60.0,1 minute,2/7/2014,45.5827778,-122.3522222,10/10/1976,20:30
stoke mandeville (uk/england),,United Kingdom,cigar,3.0,3 seconds,12/12/2009,51.783333,-0.783333,10/10/1976,22:00
san antonio,tx,United States,other,30.0,30 seconds,2/24/2005,29.4238889,-98.4933333,10/10/1977,12:00
louisville,ky,United States,light,30.0,approx: 30 seconds,3/17/2004,38.2541667,-85.7594444,10/10/1977,22:00
elmont,ny,United States,rectangle,300.0,5min,2/1/2007,40.7008333,-73.7133333,10/10/1978,02:00
poughkeepsie,ny,United States,chevron,900.0,15 minutes,4/16/2005,41.7002778,-73.9213889,10/10/1979,00:00
saddle lake (canada),ab,Canada,triangle,270.0,4.5 or more min.,1/19/2005,53.970571,-111.689885,10/10/1979,22:00
san diego,ca,United States,oval,180.0,3 minutes,8/5/2001,32.7152778,-117.1563889,10/10/1979,22:00
security,co,United States,unknown,1800.0,30mins.,1/28/1999,38.7583333,-104.7425,10/10/1979,22:00
houston,tx,United States,sphere,180.0,3 min,4/16/2005,29.7630556,-95.3630556,10/10/1980,19:00
