datetime;city;state;country;shape;duration (seconds);duration (hours/min);comments;date posted;latitude;longitude
10/10/1949 20:30;san marcos;tx;us;cylinder;2700;45 minutes;This event took place in early fall around 1949-50. It occurred after a Boy Scout meeting in the Baptist Church. The Baptist Church sit;4/27/2004;29.8830556;-97.9411111
10/10/1949 21:00;lackland afb;tx;;light;7200;1-2 hrs;"1949 Lackland AFB&#44 TX.  Lights racing across the sky &amp; making 90 degree turns on a dime.";12/16/2005;29.38421;-98.581082
10/10/1955 17:00;;;gb;circle;20;20 seconds;Green/Orange circular disc over Chester&#44 England;1/21/2008;53.2;-2.916667
10/10/1956 21:00;;tx;us;circle;20;1/2 hour;My older brother and twin sister were leaving the only Edna theater at about 9 PM&#44...we had our bikes and I took a different route home;1/17/2004;28.9783333;-96.6458333
10/10/1960 20:00;kaneohe;hi;us;light;900;15 minutes;"AS a Marine 1st Lt. flying an FJ4B fighter/attack aircraft on a solo night exercise&#44 I was at 50&#44000&#39 in a &quot;clean&quot; aircraft (no ordinan";1/22/2004;21.4180556;-157.8036111
10/10/1961 19:00;bristol;tn;us;sphere;300;5 minutes;My father is now 89 my brother 52 the girl with us now 51 myself 49 and the other fellow which worked with my father if he&#39s still livi;4/27/2007;36.5950000;-82.1888889
10/10/1965 21:00;penarth (uk/wales);;gb;circle;180;about 3 mins;penarth uk  circle  3mins  stayed 30ft above me for 3 mins slowly moved of and then with the blink of the eye the speed was unreal;2/14/2006;51.434722;-3.18
10/10/1965 23:45;norwalk;ct;us;disk;1200;20 minutes;A bright orange color changing to reddish color disk/saucer was observed hovering above power transmission lines.;10/2/1999;41.1175000;-73.4083333
10/10/1966 20:00;pell city;al;us;disk;180;3  minutes;Strobe Lighted disk shape object observed close&#44 at low speeds&#44 and low altitude in Oct 1966 in Pell City Alabama;3/19/2009;33.5861111;-86.2861111
10/10/1966 21:00;live oak;fl;us;disk;120;several minutes;Saucer zaps energy from powerline as my pregnant mother receives mental signals not to pass info;5/11/2005;30.2947222;-82.9841667
10/10/1968 13:00;hawthorne;ca;us;circle;300;5 min.;ROUND &#44 ORANGE &#44 WITH WHAT I WOULD SAY WAS POLISHED METAL OF SOME KIND AROUND THE EDGES .;10/31/2003;33.9163889;-118.3516667
10/10/1968 19:00;brevard;nc;us;fireball;180;3 minutes;silent red /orange mass of energy floated by three of us in western North Carolina in the 60s;6/12/2008;35.2333333;-82.7344444
10/10/1970 16:00;bellmore;ny;us;disk;1800;30 min.;silver disc seen by family and neighbors;5/11/2000;40.6686111;-73.5275000
10/10/1970 19:00;manchester;ky;us;unknown;180;3 minutes;Slow moving&#44 silent craft accelerated at an unbelievable angle and speed.;2/14/2008;37.1536111;-83.7619444
10/10/1971 21:00;lexington;nc;us;oval;30;30 seconds;green oval shaped light over my local church&#44power lines down..;2/14/2010;35.8238889;-80.2536111
10/10/1972 19:00;harlan county;ky;us;circle;1200;20minutes;On october 10&#44 1972 myself&#44my 5yrs.daughter&#442 neices and 2 nephews were playing tag in the back yard .When we looked over on the ridge;9/15/2005;36.8430556;-83.3219444
10/10/1972 22:30;west bloomfield;mi;us;disk;120;2 minutes;The UFO was so close&#44 my battery in the car went to zero amps&#44 stalling the engine&#44 turning off my lights and radio.;8/14/2007;42.5377778;-83.2330556
10/10/1973 19:00;niantic;ct;us;disk;1800;20-30 min;Oh&#44 what a night &#33  Two (2) saucer-shaped&#44 glowing green objects and one (1) brilliantly glowing sphere gliding over the lake.;9/24/2003;41.3252778;-72.1936111
10/10/1973 23:00;bermuda nas;;;light;20;20 sec.;saw fast moving blip on the radar scope thin went outside and saw it again.;1/11/2002;32.364167;-64.678611
10/10/1974 17:00;willow beach;az;;light;120;2 min;The object was a brillant white light standing out against the bright arizona sky;2/18/2001;0;0
10/10/1974 19:30;hudson;ma;us;other;2700;45 minutes;Not sure of the eact month or year of this sighting but it was in the fall of 74 or 75. Was walking home around dusk and saw a bright l;8/10/1999;42.3916667;-71.5666667
10/10/1974 21:30;cardiff (uk/wales);;gb;disk;1200;20 minutes;back in 1974 I was 19 at the time and  lived in a suburb of Cardiff Wales UK called Ely&#44 and in the distance there was a wood called Ca;2/1/2007;51.5;-3.2
10/10/1974 23:00;hudson;ks;us;light;1200;one hour?;The light chased us.;7/25/2004;38.1055556;-98.6597222
